#NumberOfTrials,Mass(eV/c^2),Charge(e),Current(Amp),LoopRadius(m),LoopMass(kg),CelerityCrit,InitialCelerity(m/s),AvgClosestApproach(m),AvgClosestApproach_Unc(m),ControlvTest
10.0,938000000.0,1.0,1e-06,2122.065907891938,1000.0,0,3482995866.1640353,42.373252237372725,23.436621519381642,Control
10.0,938000000.0,1.0,1e-06,2122.065907891938,1000.0,0,43892337.378902614,40.03554955306838,21.371537223367437,Control
10.0,938000000.0,1.0,1000000.0,2122.065907891938,1000.0,19163223.427224234,43892337.378902614,111.47090557752306,33.2059298054359,Test
10.0,938000000.0,1.0,1000000.0,2122.065907891938,1000.0,19163223.427224234,142072929.20652983,50.109001949182016,17.24777810888215,Test
10.0,938000000.0,1.0,1000000.0,2122.065907891938,1000.0,19163223.427224234,542016247.8027571,25.937474598811907,16.940889705403222,Test
10.0,938000000.0,1.0,1000000.0,2122.065907891938,1000.0,19163223.427224234,3482995866.1640353,57.391869439503935,49.67141010934476,Test
10.0,938000000.0,1.0,1e-06,212.2065907891938,1000.0,1.9163223427224234e-05,3482995866.1640353,5.763788988248594,2.1345010703965905,Control
10.0,938000000.0,1.0,1e-06,212.2065907891938,1000.0,1.9163223427224234e-05,43892337.378902614,2.8426157516267367,0.9726093137378026,Control
10.0,938000000.0,1.0,10000000.0,212.2065907891938,1000.0,191632234.27224237,43892337.378902614,64.70406564944216,5.4008012316535545,Test
10.0,938000000.0,1.0,10000000.0,212.2065907891938,1000.0,191632234.27224237,142072929.20652983,24.07777457394082,4.520905869063596,Test
10.0,938000000.0,1.0,10000000.0,212.2065907891938,1000.0,191632234.27224237,542016247.8027571,8.362116247295006,4.894921389586876,Test
10.0,938000000.0,1.0,10000000.0,212.2065907891938,1000.0,191632234.27224237,3482995866.1640353,6.133113499298833,2.1906645367142836,Test
10.0,938000000.0,1.0,1e-06,212206.5907891938,100000.0,1.9163223427224234e-05,43892337.378902614,4768.27425629683,3620.0572754551117,Control
10.0,938000000.0,1.0,1e-06,212206.5907891938,100000.0,1.9163223427224234e-05,3482995866.1640353,5266.182384157074,5169.651892291837,Control
10.0,938000000.0,1.0,1000000.0,212206.5907891938,100000.0,19163223.427224234,43892337.378902614,7812.1456162065615,1847.073381942089,Test
10.0,938000000.0,1.0,1000000.0,212206.5907891938,100000.0,19163223.427224234,142072929.20652983,3959.726183905893,2174.0139236772034,Test
10.0,938000000.0,1.0,1000000.0,212206.5907891938,100000.0,19163223.427224234,542016247.8027571,5242.308225800488,3271.915805518439,Test
10.0,938000000.0,1.0,1000000.0,212206.5907891938,100000.0,19163223.427224234,3482995866.1640353,3838.0810754579566,2212.9082627510393,Test
10.0,938000000.0,1.0,1e-06,21220.65907891938,100000.0,1.9163223427224234e-05,3482995866.1640353,403.4500473697747,166.6536942047251,Control
10.0,938000000.0,1.0,1e-06,21220.65907891938,100000.0,1.9163223427224234e-05,43892337.378902614,390.53942309213664,227.83900370085058,Control
10.0,938000000.0,1.0,10000000.0,21220.65907891938,100000.0,191632234.27224237,43892337.378902614,6135.65659578058,840.9267868539966,Test
10.0,938000000.0,1.0,10000000.0,21220.65907891938,100000.0,191632234.27224237,142072929.20652983,2176.4051590953,258.9248205327042,Test
10.0,938000000.0,1.0,10000000.0,21220.65907891938,100000.0,191632234.27224237,542016247.8027571,736.9055407916052,258.6793391497742,Test
10.0,938000000.0,1.0,10000000.0,21220.65907891938,100000.0,191632234.27224237,3482995866.1640353,662.0094338780998,374.6080636658821,Test
10.0,938000000.0,1.0,1e-06,2122.065907891938,100000.0,1.9163223427224234e-05,43892337.378902614,49.24926582551927,21.76299060682182,Control
10.0,938000000.0,1.0,1e-06,2122.065907891938,100000.0,1.9163223427224234e-05,3482995866.1640353,26.044714071944707,11.22756340290844,Control
10.0,938000000.0,1.0,100000000.0,2122.065907891938,100000.0,1916322342.7224233,43892337.378902614,1301.1609043556678,98.8841804046544,Test
10.0,938000000.0,1.0,100000000.0,2122.065907891938,100000.0,1916322342.7224233,142072929.20652983,994.2797687998749,106.46655882848201,Test
10.0,938000000.0,1.0,100000000.0,2122.065907891938,100000.0,1916322342.7224233,542016247.8027571,562.1026900402185,40.6634547306218,Test
10.0,938000000.0,1.0,100000000.0,2122.065907891938,100000.0,1916322342.7224233,3482995866.1640353,126.62344151286925,45.63832440953125,Test
10.0,938000000.0,1.0,1e-06,212.2065907891938,100000.0,1.9163223427224234e-05,3482995866.1640353,4.043286790629844,1.9082341452366343,Control
10.0,938000000.0,1.0,1e-06,212.2065907891938,100000.0,1.9163223427224234e-05,43892337.378902614,5.331263467886781,2.1709311849278445,Control
10.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,43892337.378902614,208.43616666350584,10.764480910782549,Test
10.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,142072929.20652983,144.894911578012,8.061669835438787,Test
10.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,542016247.8027571,129.68414583515312,12.872277413578066,Test
10.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,3482995866.1640353,70.04264012415037,4.356509227205923,Test
1.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,142072929.20652983,119.80249286049735,0.0,Test
1.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,142072929.20652983,144.5529197495966,0.0,Test
1.0,938000000.0,1.0,1000000000.0,212.2065907891938,100000.0,19163223427.224236,142072929.20652983,177.60007187403096,0.0,Test
